,Player,Pos,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Cluster
546,"Nance, Larry",PF,182,14.2,0.628,0.163,0.163,8.3,15.6,11.9,6.4,1.4,3.7,16.0,14.7,0.2,0.2,0.4,0.104,-1.1,-0.8,-1.9,0.0,2
547,"Nembhard, RJ",SG,63,8.0,0.38,0.111,0.222,5.4,6.9,6.1,26.1,0.8,0.0,13.2,16.0,0.0,0.0,0.0,0.01,-4.4,-1.5,-6.0,-0.1,0
548,"Nesmith, Aaron",SF,574,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,0
549,"Neto, Raul",PG,1372,12.4,0.538,0.272,0.245,1.1,9.6,5.4,22.9,2.0,0.2,13.9,18.4,0.7,0.8,1.5,0.053,-2.5,-0.5,-2.9,-0.4,0
550,"Newman, Malik",PG,8,28.6,0.68,0.2,0.4,0.0,13.5,6.9,27.8,0.0,0.0,14.5,38.1,0.0,0.0,0.0,0.179,6.3,0.1,6.4,0.0,0
551,"Niang, Georges",PF,1736,10.7,0.594,0.687,0.105,1.6,11.3,6.5,8.7,0.9,0.7,9.1,16.8,1.5,1.3,2.8,0.077,-0.8,-1.1,-1.9,0.0,0
552,"Nix, Daishen",SG,261,8.1,0.48,0.388,0.448,2.9,11.0,6.9,21.5,2.7,0.0,24.5,17.3,-0.3,0.1,-0.2,-0.033,-5.4,-1.0,-6.4,-0.3,0
553,"Nnaji, Zeke",PF,698,13.5,0.629,0.43,0.349,9.3,14.1,11.8,3.4,1.1,1.7,9.7,14.9,1.2,0.6,1.8,0.123,-0.7,-1.6,-2.2,0.0,2
554,"Noel, Nerlens",C,562,11.8,0.581,0.05,0.5,9.0,18.1,13.5,5.7,2.7,5.4,21.5,7.3,0.4,1.0,1.5,0.128,-3.1,3.3,0.3,0.3,2
555,"Nowell, Jaylen",SG,975,16.8,0.581,0.387,0.223,2.4,11.4,6.8,20.2,1.3,1.0,7.4,21.0,2.1,0.7,2.8,0.138,1.5,-0.7,0.8,0.7,0
